,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
323,HCM,20240216,27.05,27.3,26.85,26.95,6881100
881,HCM,20240215,27.5,27.5,26.85,27.0,6290700
1429,HCM,20240207,27.45,27.65,27.25,27.3,4695000
1992,HCM,20240206,27.0,27.8,27.0,27.3,5538400
2548,HCM,20240205,26.7,27.1,26.4,26.95,5626000
3097,HCM,20240202,26.85,27.15,26.65,26.8,5012600
3661,HCM,20240201,26.55,27.0,26.45,26.7,3361400
4213,HCM,20240131,27.1,27.6,26.5,26.5,10405600
4768,HCM,20240130,26.45,27.05,26.35,26.95,4980600
5346,HCM,20240129,27.0,27.15,26.3,26.45,6310900
5924,HCM,20240126,26.35,27.4,26.3,26.85,8663300
6490,HCM,20240125,26.45,26.7,26.1,26.3,5422000
7052,HCM,20240124,25.1,26.8,25.1,26.2,19150300
7623,HCM,20240123,24.9,25.15,24.7,25.1,9885300
8219,HCM,20240122,24.55,24.85,24.1,24.85,5569700
8806,HCM,20240119,24.8,24.85,24.4,24.4,4683100
9380,HCM,20240118,24.9,25.0,24.6,24.6,3962100
9968,HCM,20240117,24.8,25.4,24.5,24.85,9167400
10550,HCM,20240116,24.2,24.7,24.0,24.7,4261900
11124,HCM,20240115,24.7,24.85,24.25,24.25,2120900
11700,HCM,20240112,24.3,24.7,23.75,24.55,8532300
12282,HCM,20240111,24.2,24.65,24.15,24.35,4012200
12862,HCM,20240110,24.4,24.45,24.05,24.15,4238600
13430,HCM,20240109,24.7,24.7,24.25,24.35,5652700
14013,HCM,20240108,24.7,24.85,24.55,24.6,3772600
14598,HCM,20240105,24.75,24.8,24.25,24.6,8871600
15183,HCM,20240104,24.7,25.1,24.7,24.7,10109300
15762,HCM,20240103,24.7,24.9,24.55,24.8,6658300
16332,HCM,20240102,25.4,25.4,24.65,24.7,17256500
16918,HCM,20231229,23.6164,23.8248,23.5122,23.7587,13834000
17502,HCM,20231228,23.4809,23.6198,23.2725,23.6198,9417500
18084,HCM,20231227,22.8556,23.6198,22.8209,23.203,14380100
18665,HCM,20231226,22.8523,22.9565,22.7134,22.7514,8978600
19248,HCM,20231225,22.6472,22.9251,22.4041,22.7862,6884000
19815,HCM,20231222,22.7862,22.9946,22.4388,22.5083,6221700
20395,HCM,20231221,22.6472,22.9946,22.4735,22.7167,7524800
20975,HCM,20231220,21.9178,22.9946,21.9178,22.682,13419100
21570,HCM,20231219,21.5357,21.8831,21.3968,21.8831,6422900
22166,HCM,20231218,21.9525,22.022,21.5357,21.5357,5240900
22756,HCM,20231215,21.3968,21.9178,21.2578,21.8831,5960600
23359,HCM,20231214,21.8452,21.8799,21.1853,21.362,6609500
23965,HCM,20231213,22.2272,22.3314,21.5326,21.5704,8544900
24547,HCM,20231212,22.2651,22.4735,21.9873,22.022,4313200
25137,HCM,20231211,21.7441,22.4388,21.6399,22.2304,10664400
25735,HCM,20231208,21.5357,21.7441,21.362,21.5357,5497700
26316,HCM,20231207,22.0567,22.0915,20.9105,21.4315,11275500
26896,HCM,20231206,21.5357,21.9525,21.3968,21.8831,7046900
27493,HCM,20231205,21.6368,21.6715,21.2895,21.362,4904500
28086,HCM,20231204,20.8757,21.8831,20.8063,21.5357,8618700
28676,HCM,20231201,20.6326,20.7715,20.2505,20.4937,3728700
29271,HCM,20231130,20.4242,20.6673,20.32,20.32,4345700
29875,HCM,20231129,20.2476,20.5602,20.2476,20.3547,3956800
30472,HCM,20231128,19.935,20.3171,19.4835,20.2852,4494400
31075,HCM,20231127,20.4242,20.4937,19.8684,19.9379,2847000
31684,HCM,20231124,20.2158,20.4242,19.5211,20.4242,6115500
32265,HCM,20231123,21.2548,21.3937,19.8656,19.8684,7055400
32844,HCM,20231122,20.456,21.1506,20.456,21.0494,8341300
33445,HCM,20231121,20.6326,20.6673,20.3547,20.4937,3705400
34057,HCM,20231120,19.5183,20.5602,19.4141,20.3894,6048700
34672,HCM,20231117,20.6326,20.7715,19.8684,19.9379,6900400
35273,HCM,20231116,20.4212,20.5602,20.1087,20.5631,4274700
35890,HCM,20231115,20.9422,21.0464,20.3865,20.4589,5784200
36516,HCM,20231114,20.5631,20.6673,20.181,20.4242,4706300
37132,HCM,20231113,20.0045,20.3518,19.7266,20.2852,4696800
37741,HCM,20231110,19.935,20.6991,19.7961,20.0768,5684500
